48,;100701;Коммерция (по отраслям);среднее профессиональное (базовая подготовка);;Менеджер по продажам;Основная;1 гол 10 месяцев
49.;120714;Земельно-имущественные отношения;среднее профессиональное (базовая подготовка);;Специалист по земельно-имушественным отношениям;Основная;1 год 10 месяцев
50.;120714;Земельно-имущественные отношения;среднее профессиональное (базовая подготовка);;Специалист по земельно-имущественным отношениям;Основная;2 года 10 месяцев**
51.;140212;Электроснабжение (по отраслям);среднее профессиональное;51;Техник;Основная;3 года 10 месяцев
52.;140212;Электроснабжение (по отраслям);среднее профессиональное;51;Техник;Основная;2 года 10 месяцев
53.;140212;Электроснабжение (по отраслям);среднее профессиональное;52;Старший техник;Основная;3 года 10 месяцев
54.;140212;Электроснабжение (по отраслям);среднее профессиональное;52;Старший техник;Основная;4 года 10 месяцев
55.;140409;Электроснабжение (по отраслям);среднее профессиональное (базовая подготовка);;Техник;Основная;3 года 10 месяцев
56.;140409;Электроснабжение (по отраслям);среднее профессиональное (базовая подготовка);;Техник;Основная;2 года 10 ме-сяпеь
57;140409;Электроснабжение (по отраслям);среднее профессиональное (углубленная подготовка);;Специалист по электроснабжению;Основная;3 года 10 месяцев
58.;140409;Электроснабжение (по отраслям);среднее профессиональное (углубленная подготовка);;Специалист по электроснабжению;Основная;4 года 10 месяцев
59.;190304;Техническая эксплуатация подвижного состава железных дорог;среднее профессиональное;51;Техник;Основная;2 года 10 месяцев
60.;190304;Техническая эксплуатация подвижного состава железных дорог;среднее профессиональное;51;Техник;Основная;3 года 10 месяцев
61.;190304;Техническая эксплуатация подвижного состава железных дорог;среднее профессиональное;52;Старший техник;Основная;10 месяцев
62.;190304;Техническая эксплуатация подвижного состава железных дорог;среднее профессиональное;52;Старший техник;Основная;4 года 10 месяцев
63.;190304;Техническая эксплуатация подвижного состава железных дорог;среднее профессиональное;52;Старший техник;Основная;3 года 10 месяцев
64.;190604;Техническое обслуживание и ремонт автомобильного транспорта;среднее профессиональное;51;Техник;Основная;2 года 10 месяцев
65.;190604;Техническое обслуживание и ремонт автомобильного транспорта;среднее профессиональное;51;Техник;Основная;3 года 10 месяцев
66.;190605;Техническая эксплуатация подъемно-транспортных, строительных, дорожных машин и оборудования(по отраслям);среднее профессиональное;51;Техник;Основная;2 года 10 месяцев
67.;190605;Техническая эксплуатация подъемно-транспортных, строительных, дорожных машин и оборудования (по отраслям);среднее профессиональное;51;Техник;Основная;3 года 10 месяцев
68.;190623;Техническая эксплуатация подвижного состава железных дорог;среднее профессиональное (базовая подготовка);;Техник;Основная;3 года 10 месяцев
69.;190623;Техническая эксплуатация подвижного состава железных дорог;среднее профессиональное (базовая подготовка);;Техник;Основная;2 года 10 месяцев
70.;190623;Техническая эксплуатация подвижного состава железных дорог;среднее профессиональное (углубленная подготовка);;Старший техник;Основная;4 года 10 месяцев
71.;190623;Техническая эксплуатация подвижного состава железных дорог;среднее профессиональное (углубленная подготовка);;Старший техник;Основная;3 года 10 месяцев
72.;190629;Техническая эксплуатация подъемно-транспортных, строительных, дорожных машин и оборудования (по отраслям);среднее профессиональное (базовая подготовка);;Техник;Основная;2 года 10 месяцев
73.;190629;Техническая эксплуатация подъемно-транспортных, строительных, дорожных машин и оборудования (по отраслям);среднее профессиональное (базовая подготовка);;Техник;Основная;3 года 10 месяцев
74.;19063!;Техническое обслуживание и ремонт автомобильного транспорта;среднее профессиональное (базовая подготовка);;Техник;Основная;3 года 10 месяцев
75.;19063!;Техническое обслуживание и ремонт автомобильного транспорта;среднее профессиональное (базовая подготовка);;Техник;Основная;2 года 10 месяцев
76.;190701;Организация перевозок и управление на транспорте (по видам);среднее профессиональное (базовая подготовка);;Техник;Основная;2 года 10 месяцев
77.;190701;Организация перевозок и управление на транспорте (по видам);среднее профессиональное (базовая подготовка);;Техник;Основная;3 года 10 месяцев
78.;190701;Организация перевозок и управление на транспорте (по видам);среднее профессиональное (углубленная подготовка);;Старший техник;Основная;3 года 10 месяцев
79;190701;Организация перевозок и управление на транспорте (по видам);среднее профессиональное (углубленная подготовка);;Старший техник;Основная;4 года 10 месяцев
80;190701;Организация перевозок и управление на транспорте (по видам);среднее профессиональное;51;Техник;Основная;2 года 10 месяцев
81;190701;Организация перевозок и управление на транспорте (по видам);среднее профессиональное;51;Техник;Основная;3 года 10 месяцев
82.;190701;Организация перевозок и управление на транспорте (по видам);среднее профессиональное;52;Старший техник;Основная;3 года 10 месяцев
83;190701;Организация перевозок и управление на транспорте (по видам);среднее профессиональное;52;Старший техник;Основная;4 года 10 месяцев
84.;210404;Многоканальные телекоммуникационные системы;среднее профессиональное;51;Техник;Основная;2 года 6 месяцев
85.;210406;Сети связи и системы коммутации;среднее профессиональное;51;Техник;Основная;2 года 6 месяцев
86.;210407;Эксплуатация средств связи;среднее профессиональное;51;Техник;Основная;2 года 6 месяцев
87.;210407;Эксплуатация средств связи;среднее профессиональное;51;Техник;Основная;2 года 10 месяцев
88;210407;Эксплуатация средств связи;среднее профессиональное;51;Техник;Основная;3 года 6 месяцев
89.;210407;Эксплуатация средств связи;среднее профессиональное;51;Техник;Основная;3 года 10 месяцев
90.;210420;Техническая эксплуатация транспортного радиоэлектронного оборудования (по видам транспорта);среднее профессиональное (базовая подготовка);;Техник;Основная;2 года 10 месяцев
91.;210420;Техническая эксплуатация транспортного радиоэлектронного оборудования (по видам транспорта);среднее профессиональное (базовая подготовка);;Техник;Основная;3 года 10 месяцев
92.;210709;Многоканальные телекоммуникационные системы;среднее профессиональное (базовая подготовка);;Техник;Основная;2 года 6 месяцев
93;210723;Сети связи и системы коммутации;среднее профессиональное (базовая подготовка);;Техник;Основная;2 года 6 месяцев
94;220204;Автоматика и телемеханика на транспорте (по видам транспорта);среднее профессиональное;51;Техник;Основная;2 года 10 месяцев
95.;220204;Автоматика и телемеханика на транспорте (ПО видам транспорта);среднее профессиональное;51;Техник;Основная;3 года 10 месяцев
96.;220204;Автоматика и телемеханика на транспорте (по видам транспорта);среднее профессиональное;52;Старший техник;Основная;3 года 10 месяцев
97.;220303;Средства механизации и автоматизации (по отраслям);среднее профессиональное;51;Техник;Основная;3 года 10 месяцев**
98.;220303;Средства механизации и автоматизации (по отраслям);среднее профессиональное;51;Техник;Основная;2 года 10 месяцев
99.;220415;Автоматика и телемеханика на транспорте (на железнодорожном транспорте);среднее профессиональное (базовая подготовка);;Техник;Основная;3 года 10 месяцев
100.;220415;Автоматика и телемеханика на транспорте (на железнодорожном транспорте);среднее профессиональное (базовая подготовка);;Техник;Основная;2 года 10 месяцев
101.;220415;Автоматика и телемеханика на транспорте (на железнодорожном транспорте);среднее профессиональное (углубленная подготовка);;Старший техник;Основная;3 года 10 месяцев
102.;220703;Автоматизация технологических процессов и производств (по отраслям);среднее профессиональное (базовая подготовка);;Техник;Основная;2 года 10 месяцев
03.;220703;Автоматизация технологических процессов и производств (по отраслям);"среднее профессиональное (базовая подготовка;";;Техник;Основная;3 года 10 месяцев
04.;230101;Вычислительные машины, комплексы, системы и сети;среднее профессиональное;51;Техник;Основная;2 года 10 месяцев
05.;230101;Вычислительные машины, комплексы, системы и сети;среднее профессиональное;51;Техник;Основная;3 года 10 месяцев
[06.;230103;Автоматизированные системы обработки информации и управления (по отраслям);среднее профессиональное;51;Техник;Основная;3 года 10 месяцев
107.;230103;Автоматизированные системы обработки информации и управления (по отраслям);среднее профессиональное;51;Техник;Основная;2 года 10 месяцев
108.;230105;Программное обеспечение вычислительной техники и автоматизированных систем;среднее профессиональное;51;Техник;Основная;3 года 10 месяцев
109.;230105;Программное обеспечение вычислительной техники и автоматизированных систем;среднее профессиональное;51;Техник;Основная;2 года 10 месяцев
110.;230106;Техническое обслуживание средств вычислительной техники и компьютерных сетей;среднее профессиональное;51;Техник;Основная;2 года 10 месяцев
111;230106;Техническое обслуживание средств вычислительной техники и компьютерных сетей;среднее профессиональное;51;Техник;Основная;3 года 10 месяцев
112.;230111;Компьютерные сети;среднее професиональное (базовая подготовка);;Техник по компьютерным сетям;Основная;2 года 10 месяцев
113.;230111;Компьютерные сети;"среднее профессиональное (базовая подготовка;";;Техник по компьютерным сетям;Основная;3 года 10 месяцев
114.;230113;Компьютерные системы и комплексы;среднее профессиональное (базовая подготовка);;Техник по компьютерным системам;Основная;2 года 10 месяцев
115.;230113;Компьютерные системы и комплексы;среднее профессиональное (базовая подготовка);;Техник по компьютерным системам;Основная;3 года 10 месяцев
116.;230115;Программирование в компьютерных системах;среднее профессиональное (базовая подготовка);;Техник-программист;Основная;3 года 10 месяцев
117.;230115;Программирование в компьютерных системах;среднее профессиональное (базовая подготовка);;Техник-программист;Основная;2 года 10 месяцев
118.;230401;Информационные системы (по отраслям);среднее профессиональное (базовая подготовка);;Техник по информационным системам;Основная;3 года 10 месяцев
119.;230401;Информационные системы (по отраслям);среднее профессиональное (базовая подготовка);;1ехник по информационным системам;Основная;2 года 10 месяцев
120.;261701;Полиграфическое производство;среднее профессиональное;51;Техник-технолог;Основная;2 года 10 месяцев
121.;261701;Полиграфическое производство;среднее профессиональное;51;Техник-технолог;Основная;3 года 10 месяцев
122.;270103;Строительство и эксплуатация зданий и сооружений;среднее профессиональное;51;Техник;Основная;3 года 10 месяцев
123.;270103;Строительство и эксплуатация зданий и сооружений;среднее профессиональное;51;Техник;Основная;2 года 10 месяцев
124.;270204;Строительство железных дорог, путь и путевое хозяйство;среднее профессиональное;51;Техник;Основная;3 года 10 месяцев
125.;270204;Строительство железных дорог, путь и путевое хозяйство;среднее профессиональное;51;Техник;Основная;2 года 10 месяцев
126.;270204;Строительство железных дорог, путь и путевое хозяйство;среднее профессиональное;52;Старший техник;Основная;10 месяцев
127.;270204;Строительство железных дорог, путь и путевое хозяйство;среднее профессиональное;52;Старший техник;Основная;3 года 10 месяцев
128.;270204;Строительство железных дорог, путь и путевое хозяйство;среднее профессиональное;52;Старший техник;Основная;4 года 10 месяцев
129.;270802;Строительство и эксплуатация зданий и сооружений;среднее профессиональное (базовая подготовка);;Техник;Основная;2 года 10 месяцев
130.;270802;Строительство и эксплуатация зданий и сооружений;среднее профессиональное (базовая подготовка);;Техник;Основная;3 года 10 месяцев
131.;270835;Строительство железных дорог, путь и путевое хозяйство;среднее профессиональное (базовая подготовка);;Техник;Основная;2 года 10 месяцев
132.;270835;Строительство железных дорог, путь и путевое хозяйство;среднее профессиональное (базовая подготовка);;Техник;Основная;3 года 10 месяцев
133.;270835;Строительство железных дорог, путь и путевое хозяйство;среднее профессиональное (углубленная подготовка);;Старший техник;Основная;3 года 10 месяцев
134,;270835;Строительство железных дорог, путь и путевое хозяйство;среднее профессиональное (углубленная подготовка);;Старший техник;Основная;4 года 10 месяцев
135.;280703;Пожарная безопасность;среднее профессиональное;51;Техник;Основная;2 года 10 месяцев
136.;280703;Пожарная безопасность;среднее профессиональное;51;Техник;Основная;3 года 10 месяцев
137.;280707;Защита в чрезвычайных ситуациях;среднее профессиональное;51;Техник-спасатель;Основная;2 года 10 месяцев
138.;280707;Защита в чрезвычайных ситуациях;среднее профессиональное;51;Техник-спасатель;Основная;3 года 10 месяцев
139.;010400;Прикладная математика и информатика;высшее профессиональное;62;Бакалавр;Основная;4 года
140.;010400;Прикладная математика и информатика;высшее профессиональное;68;Магистр;Основная;2 года
141.;010500;Математическое обеспечение и администрирование информационных систем;высшее профессиональное;62;Бакалавр;Основная;4 года
142.;010500;Прикладная математика и информатика;высшее профессиональное;62;Бакалавр прикладной математики и информатики;Основная;4 года
143;010500;Прикладная математика и информатика;высшее профессиональное;68;Магистр прикладной математики и информатики;Основная;6 лет
144.;010501;Прикладная математика и информатика;высшее профессиональное;65;Математик, системный программист;Основная;5 лет
145.;010503;Математическое обеспечение и администрирование информационных систем;высшее профессиональное;65;Математик-программист;Основная;5 лет
146.;30300;Психология;высшее профессиональное;62;Бакалавр психологии;Основная;4 года
147.;30300;Психология;высшее профессиональное;62;Бакалавр;Основная;4 года
148.;30300;Психология;высшее профессиональное;68;Магистр;Основная;2 года
149.;030301;Психология;высшее профессиональное;65;Психолог, преподаватель психологии;Основная;5 лет
150;030500;Юриспруденция;высшее профессиональное;62;Бакалавр юриспруденции;Основная;4 года
151.;030500;Юриспруденция;высшее профессиональное;68;Магистр юриспруденции;Основная;6 лет
152.;030501;Юриспруденция;высшее профессиональное;65;Юрист;Основная;5 лет
153.;030502;Судебная экспертиза;высшее профессиональное;65;Судебный эксперт;Основная;5 лет
154.;030600;Журналистика;высшее профессиональное;62;Бакалавр журналистики;Основная;4 года
155.;030602;Связи с общественностью;высшее профессиональное;65;Специалист по связям с общественностью;Основная;5 лет
156.;030900;Юриспруденция;высшее профессиональное;62;Бакалавр;Основная;4 года
157.;030900;Юриспруденция;высшее профессиональное;68;Магистр;Основная;2 года
158;030901;Правовое обеспечение национальной безопасности;высшее профессиональное;65;Специалист;Основная;5 лет
159.;031001;Правоохранительная деятельность;высшее профессиональное;65;Специалист;Основная;5 лет
160.;031003;Судебная экспертиза;высшее профессиональное;65;Специалист;Основная;5 лет
161;031202;Перевод и переводоведение;высшее профессиональное;65;Лингвист, переводчик;Основная;5 лет
162.;031300;Журналистика;высшее профессиональное;62;Бакалавр;Основная;4 года
163.;031600;Реклама и связи с общественностью;высшее профессиональное;62;Бакалавр;Основная;4 года
164.;031600;Реклама и связи с общественностью;высшее профессиональное;68;Магистр;Основная;2 года
165.;31900;Международные отношения;высшее профессиональное;62;Бакалавр;Основная;4 года
166.;031900;Международные отношения;высшее профессиональное;68;Магистр;Основная;2 года
167.;032001;Документоведение и документационное обеспечение управления;высшее профессиональное;65;Документовед;Основная;5 лет
168.;032401;Реклама;высшее профессиональное-;65;Специалист по рекламе;Основная;5 лет
169.;034700;Документоведение и архивоведение;высшее профессиональное;62;Бакалавр;Основная;4 года
170.;035700;Лингвистика;высшее профессиональное;62;Бакалавр;Основная;4 года
171.;035701;Перевод и переводове-дение;высшее профессиональное;65;Специалист;Основная;5 лет
172.;036401;Таможенное дело;высшее профессиональное;65;Специалист;Основная;5 лет
173.;040100;Социология;высшее профессиональное;62;Бакалавр;Основная;4 года
174.;040100;Социология;высшее профессиональное;68;Магистр;Основная;2 года
175.;040104;Организация работы с молодежью;высшее профессиональное;65;Специалист по работе с молодежью;Основная;5 лет
176.;040200;Социология;высшее профессиональное;62;Бакалавр социологии;Основная;4 года
177.;040201;Социология;высшее профессиональное;65;Социолог, преподаватель социологии;Основная;5 лет
178.;040700;Организация работы с молодёжью;высшее профессиональное;63;Бакалавр;Основная;4 года
179;040700;Организация работы с молодежью;высшее профессиональное;68;Магистр;Основная;2 года
180.;080100;Экономика;высшее профессиональное;62;Бакалавр;Основная;4 года
181.;080100;Экономика;высшее профессиональное;62;Бакалавр экономики;Основная;4 года
182.;80100;Экономика;высшее профессиональное;68;Магистр;Основная;2 года
183.;80100;Экономика;высшее профессиональное;68;Магистр экономики;Основная;6 лет
184.;080101;Экономическая безопасность;высшее профессиональное;65;Специалист;Основная;5 лет
185.;080102;Мировая экономика;высшее профессиональное;65;Экономист;Основная;5 лет
186.;080103;Национальная экономика;высшее профессиональное;65;Экономист;Основная;5 лет
187.;080104;Экономика труда;высшее профессиональное;65;Экономист;Основная;5 лет
188.;080105;Финансы и кредит;высшее профессиональное;65;Экономист;Основная;5 лет
189.;080107;Налоги и налогообложение;высшее профессиональное;65;Экономист, специалист по налогообложению;Основная;5 лет
190.;080109;Бухгалтерский учет, анализ и аудит;высшее профессиональное;65;Экономист;Основная;5 лет
191.;080111;Маркетинг;высшее профессиональное;65;Маркетолог;Основная;5 лет
192;080115;Таможенное дело;высшее профессиональное;65;Специалист таможенного дела;Основная;5 лет
193.;080200;Менеджмент;высшее профессиональное;62;Бакалавр;Основная;4 года
194.;080200;Менеджмент;высшее профессиональное;68;Магистр;Основная;2 года
195.;080300;Коммерция;высшее профессиональное;62;Бакалавр коммерции;Основная;4 года
196.;080300;Коммерция;высшее профессиональное;68;Магистр коммерции;Основная;6 лет
